t,NO2,day_index,NO2_scaled
2025-09-01,7.389448910544161e-06,0,0.5318932181515115
2025-09-02,-3.703150639466912e-07,1,0.3639954769136123
2025-09-03,-2.1472251319210045e-06,2,0.3255485360302919
2025-09-04,1.66296522365883e-05,3,0.7318231737689473
2025-09-05,9.698364920041058e-06,4,0.5818511529517112
2025-09-06,-1.719316787784919e-05,5,0.0
2025-09-07,2.562031295383349e-05,6,0.9263537847030024
2025-09-08,8.521953532181215e-06,7,0.5563971809704087
2025-09-09,1.9669234461616725e-05,8,0.7975905078743155
2025-09-10,-4.9478558139526285e-06,9,0.2649513880886215
2025-09-11,-1.2744520745400223e-06,10,0.3444326960935723
2025-09-12,9.979067726817448e-06,11,0.5879247097469726
2025-09-13,4.349124083091738e-06,12,0.46610981638351356
2025-09-14,2.59582247963408e-05,13,0.933665171399946
2025-09-19,1.1758251275750808e-05,14,0.6264208418581482
2025-09-20,6.6246266214875504e-06,15,0.515344785080204
2025-09-21,1.2023543604300356e-05,16,0.632160962675951
2025-09-22,9.703016075945923e-06,17,0.5819517898490626
2025-09-23,1.3649104403157253e-05,18,0.6673331647261888
2025-09-24,1.746566704241559e-05,19,0.749911996831256
2025-09-25,1.0810101230163127e-05,20,0.6059057525420162
2025-09-26,5.825583684782032e-06,21,0.49805592105470287
2025-09-27,4.257745331415208e-06,22,0.4641326575351177
2025-09-28,1.2844805496570189e-05,23,0.6499305774645137
2025-10-02,1.6124369722092524e-05,24,0.7208903937063407
2025-10-03,1.0859410394914448e-05,25,0.6069726532120998
2025-10-04,2.4515775294275954e-05,26,0.9024549420627437
2025-10-05,1.950567639141809e-05,27,0.7940516076399972
2025-10-06,1.7125767044490203e-05,28,0.7425575924851904
2025-10-07,2.902403502957896e-05,29,0.9999999999999999
2025-10-08,1.190300281450618e-05,30,0.6295528258305514
2025-10-09,2.1672467482858337e-05,31,0.8409343905678233
2025-10-10,2.293207398906816e-05,32,0.8681884524099643
2025-10-12,-7.213202479761094e-06,33,0.21593616165127313
2025-10-14,-3.980680958193261e-06,34,0.2858781165558676
